Location	County/Zone	St.	Date	Time	T.Z.	Type	Mag	Dth	Inj	PrD	CrD
MANATEE (ZONE)	MANATEE (ZONE)	FL	8/13/2004	14:00	EST	Hurricane (typhoon)		0	0	8.200M	0.00K
LEE (ZONE)	LEE (ZONE)	FL	8/13/2004	14:00	EST	Hurricane (typhoon)		1	30	2.000B	10.000M
DE SOTO (ZONE)	DE SOTO (ZONE)	FL	8/13/2004	14:00	EST	Hurricane (typhoon)		1	50	382.000M	125.000M
CHARLOTTE (ZONE)	CHARLOTTE (ZONE)	FL	8/13/2004	14:00	EST	Hurricane (typhoon)		4	700	3.000B	150.000M
SARASOTA (ZONE)	SARASOTA (ZONE)	FL	8/13/2004	14:00	EST	Hurricane (typhoon)		1	0	32.400M	0.00K
VOLUSIA (ZONE)	VOLUSIA (ZONE)	FL	8/13/2004	20:40	EST	Hurricane (typhoon)		2	0	52.000M	0.00K
FLAGLER (ZONE)	FLAGLER (ZONE)	FL	8/13/2004	22:00	EST	Hurricane (typhoon)		0	0	20.00K	0.00K
JONES (ZONE)	JONES (ZONE)	NC	8/14/2004	0:00	EST	Hurricane (typhoon)		0	0	50.00K	300.00K
ONSLOW (ZONE)	ONSLOW (ZONE)	NC	8/14/2004	0:00	EST	Hurricane (typhoon)		0	0	5.000M	500.00K
PAMLICO (ZONE)	PAMLICO (ZONE)	NC	8/14/2004	0:00	EST	Hurricane (typhoon)		0	0	50.00K	200.00K
LENOIR (ZONE)	LENOIR (ZONE)	NC	8/14/2004	0:00	EST	Hurricane (typhoon)		0	0	50.00K	300.00K
GREENE (ZONE)	GREENE (ZONE)	NC	8/14/2004	0:00	EST	Hurricane (typhoon)		0	0	50.00K	250.00K
CRAVEN (ZONE)	CRAVEN (ZONE)	NC	8/14/2004	0:00	EST	Hurricane (typhoon)		0	0	525.00K	75.00K
DUPLIN (ZONE)	DUPLIN (ZONE)	NC	8/14/2004	0:00	EST	Hurricane (typhoon)		0	0	100.00K	250.00K
BEAUFORT (ZONE)	BEAUFORT (ZONE)	NC	8/14/2004	0:00	EST	Hurricane (typhoon)		0	0	50.00K	125.00K
CARTERET (ZONE)	CARTERET (ZONE)	NC	8/14/2004	0:00	EST	Hurricane (typhoon)		0	0	250.00K	50.00K
WESTERN HYDE (ZONE)	WESTERN HYDE (ZONE)	NC	8/14/2004	0:00	EST	Hurricane (typhoon)		0	0	25.00K	75.00K
MARTIN (ZONE)	MARTIN (ZONE)	NC	8/14/2004	0:00	EST	Hurricane (typhoon)		0	0	25.00K	150.00K
EASTERN HYDE (ZONE)	EASTERN HYDE (ZONE)	NC	8/14/2004	0:00	EST	Hurricane (typhoon)		0	0	50.00K	0.00K
WASHINGTON (ZONE)	WASHINGTON (ZONE)	NC	8/14/2004	0:00	EST	Hurricane (typhoon)		0	0	25.00K	75.00K
TYRRELL (ZONE)	TYRRELL (ZONE)	NC	8/14/2004	0:00	EST	Hurricane (typhoon)		0	0	50.00K	150.00K
